* This is the BiomeMobWeight report file that is output every time the server starts.,RESTART GAME FOR CHANGES TO TAKE EFFECT,,NEGATIVE WEIGHT = NO SPAWN,SERVERCORE CONFIG FOR MOB CATEGORY CAPS,,,
2578, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
2579, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
2580, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
2581, none, netherexp:exhaust_mire, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
2582, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
2583, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
2584, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
2585, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
2586, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
2587, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
2588, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
2589, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
2590, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
2591, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:swarmer,11,1,1
2592, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
2593, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
2594, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
2595, none, netherexp:exhaust_mire, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
2596, none, netherexp:exhaust_mire, CREATURE, minecraft:strider,60,1,2
2597, none, netherexp:exhaust_mire, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
2598, none, netherexp:exhaust_mire, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
2599, none, netherexp:exhaust_mire, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
2600, none, netherexp:exhaust_mire, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2601, none, netherexp:exhaust_mire, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2602, none, netherexp:exhaust_mire, WATER_AMBIENT, aquaculture:carp,10,1,3
2603, none, netherexp:exhaust_mire, WATER_AMBIENT, aquaculture:catfish,1,1,1
2604, none, netherexp:exhaust_mire, WATER_AMBIENT, aquaculture:gar,6,1,2
2605, none, netherexp:exhaust_mire, WATER_AMBIENT, aquaculture:minnow,18,1,5
2606, none, netherexp:exhaust_mire, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
2607, none, netherexp:exhaust_mire, WATER_AMBIENT, aquaculture:perch,20,1,6
2608, none, netherexp:exhaust_mire, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
2609, forest, minecraft:flower_forest, MONSTER, minecraft:spider,100,4,4
2610, forest, minecraft:flower_forest, MONSTER, minecraft:zombie,95,4,4
2611, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager,5,1,1
2612, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton,100,4,4
2613, forest, minecraft:flower_forest, MONSTER, minecraft:creeper,100,4,4
2614, forest, minecraft:flower_forest, MONSTER, minecraft:slime,100,4,4
2615, forest, minecraft:flower_forest, MONSTER, minecraft:witch,5,1,1
2616, forest, minecraft:flower_forest, MONSTER, alexsmobs:centipede_head,8,1,1
2617, forest, minecraft:flower_forest, MONSTER, alexsmobs:farseer,30,1,1
2618, forest, minecraft:flower_forest, MONSTER, alexsmobs:murmur,5,1,1
2619, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
2620, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
2621, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
2622, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
2623, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
2624, forest, minecraft:flower_forest, MONSTER, endermanoverhaul:cave_enderman,2,1,2
2625, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
2626, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
2627, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
2628, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
2629, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
2630, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:door_knight,13,1,1
2631, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
2632, forest, minecraft:flower_forest, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
2633, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
2634, forest, minecraft:flower_forest, MONSTER, endermanoverhaul:flower_fields_enderman,5,1,4
2635, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:krampus,2,1,1
2636, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
2637, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
2638, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:missioner,4,1,1
2639, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
2640, forest, minecraft:flower_forest, MONSTER, mowziesmobs:grottol,2,1,1
2641, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
2642, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
2643, forest, minecraft:flower_forest, MONSTER, majruszsdifficulty:cursed_armor,30,1,3
2644, forest, minecraft:flower_forest, MONSTER, majruszsdifficulty:illusioner,8,1,1
2645, forest, minecraft:flower_forest, MONSTER, majruszsdifficulty:tank,3,1,1
2646, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
2647, forest, minecraft:flower_forest, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
2648, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
2649, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
2650, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
2651, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
2652, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
2653, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
2654, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
2655, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
2656, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
2657, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:swarmer,11,1,1
2658, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
2659, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
2660, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
2661, forest, minecraft:flower_forest, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
2662, forest, minecraft:flower_forest, CREATURE, minecraft:sheep,12,4,4
2663, forest, minecraft:flower_forest, CREATURE, minecraft:chicken,10,4,4
2664, forest, minecraft:flower_forest, CREATURE, minecraft:cow,10,4,4
2665, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit,4,2,3
2666, forest, minecraft:flower_forest, CREATURE, naturalist:bear,10,1,2
2667, forest, minecraft:flower_forest, CREATURE, naturalist:boar,10,3,4
2668, forest, minecraft:flower_forest, CREATURE, naturalist:butterfly,10,3,6
2669, forest, minecraft:flower_forest, CREATURE, naturalist:cardinal,7,3,4
2670, forest, minecraft:flower_forest, CREATURE, naturalist:deer,10,3,5
2671, forest, minecraft:flower_forest, CREATURE, naturalist:finch,7,3,4
2672, forest, minecraft:flower_forest, CREATURE, minecraft:fox,10,1,2
2673, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit,10,2,3
2674, forest, minecraft:flower_forest, CREATURE, naturalist:lizard,10,1,1
2675, forest, minecraft:flower_forest, CREATURE, naturalist:robin,7,3,4
2676, forest, minecraft:flower_forest, CREATURE, naturalist:snail,10,2,3
2677, forest, minecraft:flower_forest, CREATURE, naturalist:snake,10,1,1
2678, forest, minecraft:flower_forest, CREATURE, crittersandcompanions:ferret,7,2,3
2679, forest, minecraft:flower_forest, CREATURE, crittersandcompanions:jumping_spider,10,1,1
2680, forest, minecraft:flower_forest, CREATURE, alexsmobs:grizzly_bear,8,2,3
2681, forest, minecraft:flower_forest, CREATURE, alexsmobs:hummingbird,19,7,7
2682, forest, minecraft:flower_forest, CREATURE, alexsmobs:raccoon,10,2,4
2683, forest, minecraft:flower_forest, CREATURE, alexsmobs:crow,10,3,5
2684, forest, minecraft:flower_forest, CREATURE, alexsmobs:tasmanian_devil,10,1,2
2685, forest, minecraft:flower_forest, CREATURE, alexsmobs:skunk,7,1,2
2686, forest, minecraft:flower_forest, CREATURE, alexsmobs:blue_jay,16,2,4
2687, forest, minecraft:flower_forest, CREATURE, friendsandfoes:moobloom,4,2,4
2688, forest, minecraft:flower_forest, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
2689, forest, minecraft:flower_forest, AMBIENT, minecraft:bat,10,8,8
2690, forest, minecraft:flower_forest, AMBIENT, naturalist:firefly,10,2,4
2691, forest, minecraft:flower_forest, AMBIENT, crittersandcompanions:leaf_insect,14,1,1
2692, forest, minecraft:flower_forest, AMBIENT, alexsmobs:fly,3,2,3
2693, forest, minecraft:flower_forest, AMBIENT, alexsmobs:cockroach,4,5,5
2694, forest, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
2695, forest, minecraft:flower_forest, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
2696, forest, minecraft:flower_forest, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
2697, forest, minecraft:flower_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish,23,5,12
2698, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2699, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2700, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
2701, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:catfish,1,1,1
2702, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:gar,6,1,2
2703, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:minnow,18,1,5
2704, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
2705, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:perch,20,1,6
2706, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
2707, forest, minecraft:flower_forest, rascals, friendsandfoes:rascal,4,1,1
2708, forest, minecraft:forest, MONSTER, minecraft:spider,100,4,4
2709, forest, minecraft:forest, MONSTER, minecraft:zombie,95,4,4
2710, forest, minecraft:forest, MONSTER, minecraft:zombie_villager,5,1,1
2711, forest, minecraft:forest, MONSTER, minecraft:skeleton,100,4,4
2712, forest, minecraft:forest, MONSTER, minecraft:creeper,100,4,4
2713, forest, minecraft:forest, MONSTER, minecraft:slime,100,4,4
2714, forest, minecraft:forest, MONSTER, minecraft:enderman,10,1,4
2715, forest, minecraft:forest, MONSTER, minecraft:witch,5,1,1
2716, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head,8,1,1
2717, forest, minecraft:forest, MONSTER, alexsmobs:farseer,30,1,1
2718, forest, minecraft:forest, MONSTER, alexsmobs:murmur,5,1,1
2719, forest, minecraft:forest, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
2720, forest, minecraft:forest, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
2721, forest, minecraft:forest, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
2722, forest, minecraft:forest, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
2723, forest, minecraft:forest, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
2724, forest, minecraft:forest, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
2725, forest, minecraft:forest, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
2726, forest, minecraft:forest, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
2727, forest, minecraft:forest, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
2728, forest, minecraft:forest, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
2729, forest, minecraft:forest, MONSTER, born_in_chaos_v1:door_knight,13,1,1
2730, forest, minecraft:forest, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
2731, forest, minecraft:forest, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
2732, forest, minecraft:forest, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
2733, forest, minecraft:forest, MONSTER, born_in_chaos_v1:krampus,2,1,1
2734, forest, minecraft:forest, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
2735, forest, minecraft:forest, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
2736, forest, minecraft:forest, MONSTER, born_in_chaos_v1:missioner,4,1,1
2737, forest, minecraft:forest, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
2738, forest, minecraft:forest, MONSTER, mowziesmobs:grottol,2,1,1
2739, forest, minecraft:forest, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
2740, forest, minecraft:forest, MONSTER, theinkarena:natural_ink_brute,16,1,3
2741, forest, minecraft:forest, MONSTER, theinkarena:natural_ink_titan,8,1,2
2742, forest, minecraft:forest, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
2743, forest, minecraft:forest, MONSTER, majruszsdifficulty:cursed_armor,30,1,3
2744, forest, minecraft:forest, MONSTER, majruszsdifficulty:illusioner,8,1,1
2745, forest, minecraft:forest, MONSTER, majruszsdifficulty:tank,3,1,1
2746, forest, minecraft:forest, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
2747, forest, minecraft:forest, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
2748, forest, minecraft:forest, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
2749, forest, minecraft:forest, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
2750, forest, minecraft:forest, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
2751, forest, minecraft:forest, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
2752, forest, minecraft:forest, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
2753, forest, minecraft:forest, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
2754, forest, minecraft:forest, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
2755, forest, minecraft:forest, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
2756, forest, minecraft:forest, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
2757, forest, minecraft:forest, MONSTER, born_in_chaos_v1:swarmer,11,1,1
2758, forest, minecraft:forest, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
2759, forest, minecraft:forest, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
2760, forest, minecraft:forest, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
2761, forest, minecraft:forest, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
2762, forest, minecraft:forest, CREATURE, minecraft:sheep,12,4,4
2763, forest, minecraft:forest, CREATURE, minecraft:chicken,10,4,4
2764, forest, minecraft:forest, CREATURE, minecraft:cow,10,4,4
2765, forest, minecraft:forest, CREATURE, minecraft:wolf,5,4,4
2766, forest, minecraft:forest, CREATURE, naturalist:bear,10,1,2
2767, forest, minecraft:forest, CREATURE, naturalist:boar,10,3,4
2768, forest, minecraft:forest, CREATURE, naturalist:butterfly,10,3,6
2769, forest, minecraft:forest, CREATURE, naturalist:cardinal,7,3,4
2770, forest, minecraft:forest, CREATURE, naturalist:deer,10,3,5
2771, forest, minecraft:forest, CREATURE, naturalist:finch,7,3,4
2772, forest, minecraft:forest, CREATURE, minecraft:fox,10,1,2
2773, forest, minecraft:forest, CREATURE, minecraft:rabbit,10,2,3
2774, forest, minecraft:forest, CREATURE, naturalist:lizard,10,1,1
2775, forest, minecraft:forest, CREATURE, naturalist:robin,7,3,4
2776, forest, minecraft:forest, CREATURE, naturalist:snail,10,2,3
2777, forest, minecraft:forest, CREATURE, naturalist:snake,10,1,1
2778, forest, minecraft:forest, CREATURE, crittersandcompanions:ferret,7,2,3
2779, forest, minecraft:forest, CREATURE, crittersandcompanions:jumping_spider,10,1,1
2780, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear,8,2,3
2781, forest, minecraft:forest, CREATURE, alexsmobs:raccoon,10,2,4
2782, forest, minecraft:forest, CREATURE, alexsmobs:crow,10,3,5
2783, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil,10,1,2
2784, forest, minecraft:forest, CREATURE, alexsmobs:skunk,7,1,2
2785, forest, minecraft:forest, CREATURE, alexsmobs:blue_jay,16,2,4
2786, forest, minecraft:forest, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
2787, forest, minecraft:forest, AMBIENT, minecraft:bat,10,8,8
2788, forest, minecraft:forest, AMBIENT, naturalist:firefly,10,2,4
2789, forest, minecraft:forest, AMBIENT, crittersandcompanions:leaf_insect,14,1,1
2790, forest, minecraft:forest, AMBIENT, alexsmobs:fly,3,2,3
2791, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach,4,5,5
2792, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
2793, forest, minecraft:forest, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
2794, forest, minecraft:forest, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
2795, forest, minecraft:forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish,23,5,12
2796, forest, minecraft:forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2797, forest, minecraft:forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2798, forest, minecraft:forest, WATER_AMBIENT, aquaculture:carp,10,1,3
2799, forest, minecraft:forest, WATER_AMBIENT, aquaculture:catfish,1,1,1
2800, forest, minecraft:forest, WATER_AMBIENT, aquaculture:gar,6,1,2
2801, forest, minecraft:forest, WATER_AMBIENT, aquaculture:minnow,18,1,5
2802, forest, minecraft:forest, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
2803, forest, minecraft:forest, WATER_AMBIENT, aquaculture:perch,20,1,6
2804, forest, minecraft:forest, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
2805, forest, minecraft:forest, rascals, friendsandfoes:rascal,4,1,1
2806, none, undergarden:forgotten_field, MONSTER, undergarden:nargoyle,50,1,1
2807, none, undergarden:forgotten_field, MONSTER, undergarden:muncher,50,1,1
2808, none, undergarden:forgotten_field, MONSTER, undergarden:sploogie,50,1,1
2809, none, undergarden:forgotten_field, MONSTER, undergarden:rotling,100,2,4
2810, none, undergarden:forgotten_field, MONSTER, undergarden:rotwalker,100,4,4
2811, none, undergarden:forgotten_field, MONSTER, undergarden:rotbeast,100,1,2
2812, none, undergarden:forgotten_field, MONSTER, undergarden:stoneborn,100,1,3
2813, none, undergarden:forgotten_field, MONSTER, alexsmobs:farseer,30,1,1
2814, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
2815, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
2816, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
2817, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
2818, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
2819, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
2820, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
2821, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
2822, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
2823, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
2824, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:door_knight,13,1,1
2825, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
2826, none, undergarden:forgotten_field, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
2827, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
2828, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:krampus,2,1,1
2829, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
2830, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
2831, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:missioner,4,1,1
2832, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:mother_spider,15,1,1
2833, none, undergarden:forgotten_field, MONSTER, mowziesmobs:grottol,2,1,1
2834, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:mr_pumpkin,15,1,3
2835, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:nightmare_stalker,4,1,1
2836, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:phantom_creeper,8,1,1
2837, none, undergarden:forgotten_field, MONSTER, realmrpg_wyrms:red_wyrm,1,1,1
2838, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:restless_spirit,20,1,1
2839, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:siamese_skeletons,16,1,1
2840, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:sir_pumpkinhead,4,1,1
2841, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:skeleton_demoman,12,1,1
2842, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:skeleton_thrasher,8,1,1
2843, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:spirit_guide_assistant,9,2,2
2844, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:spirit_guide,16,1,1
2845, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:spiritof_chaos,8,1,1
2846, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:supreme_bonescaller,1,1,1
2847, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:swarmer,11,1,1
2848, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:zombie_bruiser,16,1,1
2849, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:zombie_clown,8,1,1
2850, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:zombie_fisherman,30,1,1
2851, none, undergarden:forgotten_field, MONSTER, born_in_chaos_v1:zombie_lumberjack,25,1,1
2852, none, undergarden:forgotten_field, CREATURE, undergarden:gloomper,100,4,4
2853, none, undergarden:forgotten_field, CREATURE, undergarden:brute,100,4,4
2854, none, undergarden:forgotten_field, CREATURE, undergarden:mog,100,4,4
2855, none, undergarden:forgotten_field, CREATURE, undergarden:dweller,100,4,4
2856, none, undergarden:forgotten_field, CREATURE, born_in_chaos_v1:thornshell_crab,8,1,1
2857, none, undergarden:forgotten_field, AMBIENT, undergarden:scintling,5,4,8
2858, none, undergarden:forgotten_field, WATER_CREATURE, born_in_chaos_v1:corpse_fish,5,3,5
2859, none, undergarden:forgotten_field, WATER_CREATURE, born_in_chaos_v1:glutton_fish,2,1,1
2860, none, undergarden:forgotten_field, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2861, none, undergarden:forgotten_field, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2862, none, undergarden:forgotten_field, WATER_AMBIENT, aquaculture:carp,10,1,3
2863, none, undergarden:forgotten_field, WATER_AMBIENT, aquaculture:catfish,1,1,1
2864, none, undergarden:forgotten_field, WATER_AMBIENT, aquaculture:gar,6,1,2
2865, none, undergarden:forgotten_field, WATER_AMBIENT, aquaculture:minnow,18,1,5
2866, none, undergarden:forgotten_field, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
2867, none, undergarden:forgotten_field, WATER_AMBIENT, aquaculture:perch,20,1,6
2868, none, undergarden:forgotten_field, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
2869, none, alexscaves:forlorn_hollows, MONSTER, alexscaves:underzealot,100,1,1
2870, none, alexscaves:forlorn_hollows, MONSTER, alexscaves:corrodent,90,3,4
2871, none, alexscaves:forlorn_hollows, MONSTER, alexscaves:vesper,60,2,3
2872, none, alexscaves:forlorn_hollows, MONSTER, alexsmobs:centipede_head,8,1,1
2873, none, alexscaves:forlorn_hollows, MONSTER, alexsmobs:farseer,30,1,1
2874, none, alexscaves:forlorn_hollows, MONSTER, alexsmobs:murmur,5,1,1
2875, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:baby_skeleton,25,1,2
2876, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:baby_spider,16,3,5
2877, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:barrel_zombie,25,1,1
2878, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:bloody_gadfly,15,1,1
2879, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:bonescaller,11,1,1
2880, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:corpse_fly,12,1,3
2881, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:dark_vortex,14,1,1
2882, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:decaying_zombie,30,1,1
2883, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:decrepit_skeleton,20,1,1
2884, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:dire_hound_leader,4,1,1
2885, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:door_knight,13,1,1
2886, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:dread_hound,15,3,5
2887, none, alexscaves:forlorn_hollows, MONSTER, realmrpg_wyrms:ender_wyrm,1,1,3
2888, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:fallen_chaos_knight,5,1,1
2889, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:krampus,2,1,1
2890, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:krampus_henchman,9,2,3
2891, none, alexscaves:forlorn_hollows, MONSTER, born_in_chaos_v1:lifestealer,3,1,1
